,PMIDs
1046,6387717
1047,7028529
1048,8520806
1049,6351994
1050,15161117
1051,2866117
1052,3287909
1053,9065377
1054,3895810
1055,6996107
1056,3895810
1057,345993
1058,9882084
1059,18373490
1060,6155061
1061,10451565
1062,2486951
1063,19038583
1064,12900528
1065,18180635
1066,3527535
1067,380256
1068,75392
1069,78362
1070,6448429
1071,3073625
1072,7896157
1073,16675091
1074,12151162
1075,12380631
1076,3908675
1077,12380631
1078,33086
1079,364357
1080,10511349
1081,16319303
1082,16900354
1083,10791665
1084,10813165
1085,12704250
1086,7767151
1087,3006228
1088,2997101
1089,2539180
1090,6326632
1091,6378236
1092,6359995
1093,2986508
1094,8149141
1095,15512809
1096,12243600
1097,8504271
1098,3554658
1099,7048914
1100,2669626
1101,6313595
1102,12523578
1103,8588538
1104,17012004
1105,14569109
1106,14569109
1107,9808483
1108,11423583
1109,12826169
1110,14514747
1111,12039990
1112,11119979
1113,10812111
1114,10676721
1115,15714177
1116,12270333
1117,6368958
1118,10652047
1119,15265162
1120,8962355
1121,14717945
1122,12631097
1123,15611808
1124,15769918
1125,9584032
1126,9477538
1127,18591366
1128,12699022
1129,9215505
1130,19652099
1131,17046506
1132,10650733
1133,11777112
1134,11495184
1135,23084163
1136,19937385
1137,8899140
1138,16027537
1139,20401635
1140,9519580
1141,21571742
1142,12476494
1143,15179390
1144,9457018
1145,12970656
1146,9458602
1147,9812793
1148,12923506
1149,9825553
1150,11991886
1151,16141015
1152,9922408
1153,16338507
1154,10919545
1155,12890374
1156,8625677
1157,10453854
1158,11858916
1159,16263999
1160,18496349
1161,17873811
1162,11706485
1163,16707509
1164,9236651
1165,12202439
1166,15760312
1167,7815886
1168,14520776
1169,8205580
1170,8205582
1171,11203940
1172,11042989
1173,12789994
1174,15646216
1175,11908405
1176,14692166
1177,12074226
1178,11913292
1179,8205581
1180,14959882
1181,15794456
1182,11803987
1183,11908406
1184,15055983
1185,12793220
1186,15218710
1187,15061232
1188,12512986
1189,10371880
1190,15948518
1191,11243292
1192,8228713
1193,3748494
1194,1303479
1195,3079625
1196,9894177
1197,7447362
1198,9251949
1199,2798994
1200,12790845
1201,3772891
1202,1568631
1203,2315771
1204,2183617
1205,16212202
1206,3907340
1207,6293721
1208,20467616
1209,15973948
1210,18602312
1211,11055129
1212,12381063
1213,19171004
1214,19563329
1215,20467603
1216,20467605
1217,15877756
1218,12559133
1219,19092335
1220,11103179
1221,10757573
1222,8055124
1223,15778644
1224,14588132
1225,11867243
1226,10943176
1227,9764257
1228,12913042
1229,7777738
1230,10691065
1231,15026104
1232,16646970
1233,9440402
1234,16250910
1235,6465406
1236,2348155
1237,2741903
1238,2741903
1239,11011459
1240,14568636
1241,15792278
1242,16157604
1243,9101691
1244,9503730
1245,12931924
1246,15649678
1247,15649678
1248,11176557
1249,9658516
1250,8834569
1251,8562641
1252,10355382
1253,10355382
1254,10355382
1255,10932585
1256,9629829
1257,10943176
1258,9578862
1259,9457003
1260,9141738
1261,12835602
1262,12835602
1263,11402357
1264,9829873
1265,16450224
1266,3577950
1267,3823668
1268,15448290
1269,12384195
1270,15509406
1271,8046692
1272,11133338
1273,15188340
1274,16765279
1275,16765277
1276,9192190
1277,9192190
1278,9192190
1279,10691065
1280,2213259
1281,8228774
1282,15150305
1283,8774033
1284,9328560
1285,18945586
1286,892969
1287,12821704
1288,11449019
1289,11011481
1290,15894697
1291,10330737
1292,10125779
1293,15894697
1294,15894697
1295,9374887
1296,1483820
1297,17098576
1298,12585532
1299,16244052
1300,11131931
1301,14664782
1302,15972931
1303,10692967
1304,15972931
1305,15533256
1306,16091137
1307,3720279
1308,11086616
1309,11812810
1310,16085200
1311,8237986
1312,11233582
1313,10527007
1314,1897510
1315,8399698
1316,4009104
1317,17998081
1318,2223198
1319,12392866
1320,16713527
1321,1573369
1322,12589865
1323,9039392
1324,15542538
1325,10846272
1326,9578863
1327,15778644
1328,14575193
1329,15778644
1330,15778644
1331,7122824
1332,14973100
1333,10183331
1334,1342326
1335,2343859
1336,12026752
1337,11221822
1338,12672684
1339,12672684
1340,10408998
1341,10408998
1342,11255905
1343,9175409
1344,2741903
